symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
XLC,145429,0.013441919715925578,0.00701254054951192,0.019214195887516012,True,2.9551618729861673e-07,3.030935254344787e-07,True,True,145429,0.011287204753243697,0.005810360539155686,0.015983644135385947,True,1.673685346115228e-05,2.308531511883073e-05,True,True,145429,-0.005111159760350453,-0.010322874260507648,5.8836470414030866e-05,False,0.051278153726296294,0.07196933856322286,False,False
XLE,316937,0.0261283506227157,0.022571957485425433,0.02967341971865984,True,0.0,0.0,True,True,316937,0.011330852991195024,0.007512670333382318,0.014649476443095557,True,1.780993130751085e-10,2.7937147149036633e-10,True,True,316937,-0.009267957890241086,-0.01292008498181457,-0.005422189049170238,False,1.8116994304762102e-07,3.9171879577864e-07,True,False
XLF,316938,0.1057532881346735,0.10195368640710796,0.11000632077813882,True,0.0,0.0,True,True,316938,0.03335513875332552,0.029772658928164365,0.037250875821163563,True,0.0,0.0,True,True,316938,-0.01656402542386902,-0.020137576145240744,-0.012915612739675876,False,0.0,0.0,True,False
XLI,316937,0.02664153521340331,0.02320217165527229,0.030275743812162432,True,0.0,0.0,True,True,316937,0.017803880993234593,0.013909431134467886,0.02131543400194811,True,0.0,0.0,True,True,316937,-0.010917446491060192,-0.014342739844193788,-0.0070126595424821695,False,7.927574152688521e-10,2.265021186482435e-09,True,False
XLK,316938,0.0767664212535219,0.07256036427095384,0.08078711026077863,True,0.0,0.0,True,True,316938,0.03747381049901594,0.03406564195114393,0.04095855099061547,True,0.0,0.0,True,True,316938,-0.02100233653861072,-0.024344881127299045,-0.01775030086809085,False,0.0,0.0,True,False
XLP,316938,0.05671277169868508,0.052886410884729076,0.06044668413580291,True,0.0,0.0,True,True,316938,0.02716550397757069,0.023797514611396692,0.03067153225904469,True,0.0,0.0,True,True,316938,-0.015111220032216913,-0.01893178532092403,-0.011585161931828146,False,0.0,0.0,True,False
XLRE,183022,0.024991855983772796,0.020305542013226166,0.029636021745265397,True,0.0,0.0,True,True,183022,0.01403478538007261,0.008642982426970394,0.01889745811486999,True,1.919388203930339e-09,2.843538079896798e-09,True,True,183022,-0.002941593639216396,-0.007779587811001552,0.0018855999587367174,False,0.20823289817466506,0.25240351293898794,False,False
XLU,316938,0.067137415550933,0.06280715511894877,0.07119013508220152,True,0.0,0.0,True,True,316938,0.026793565336174677,0.02308384683532429,0.03092867742229228,True,0.0,0.0,True,True,316938,-0.011937596057194836,-0.0158300932587825,-0.008307746927764285,False,1.8079093777600974e-11,5.562798085415684e-11,True,False
XLV,316938,0.025573284732172925,0.021903770622513495,0.029228371754849703,True,0.0,0.0,True,True,316938,0.01796487516169704,0.014450238079522944,0.021590734753628,True,0.0,0.0,True,True,316938,-0.010322004115074107,-0.013955126627819513,-0.007009610852260087,False,6.205032487827111e-09,1.6012987065360287e-08,True,False
XLY,316937,0.045581310790820374,0.04206587763227804,0.048885447439029374,True,0.0,0.0,True,True,316937,0.023356153271670815,0.019922648049095135,0.026978458975751615,True,0.0,0.0,True,True,316937,-0.016319415901317597,-0.019692289073106665,-0.013183469370635565,False,0.0,0.0,True,False
XOP,316925,0.013005313369771983,0.008744093295350055,0.01634146749561925,True,2.446931546273845e-13,2.796493195741537e-13,True,True,316925,-0.003578429287161523,-0.007671035873277362,-0.00031272620850194096,False,0.04395555924936989,0.049527390703515375,True,False,316925,-0.00046313582784039974,-0.003851084152751998,0.0037137156393465182,False,0.7943035378330974,0.7943035378330974,False,False
