iShares Russell 3000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DASH","DOORDASH CLASS A","Consumer Discretionary","Equity","20,956,681.94","0.10","20,956,681.94","102,961.00","203.54","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","20,809,347.20","0.10","20,809,347.20","71,744.00","290.05","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","20,792,986.50","0.10","20,792,986.50","64,077.00","324.50","United States","NYSE","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","20,762,702.65","0.10","20,762,702.65","90,253.00","230.05","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","20,552,601.30","0.10","20,552,601.30","37,983.00","541.10","United States","NYSE","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL CLASS A","Consumer Discretionary","Equity","20,402,405.96","0.10","20,402,405.96","59,926.00","340.46","United States","NASDAQ","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","20,159,931.12","0.10","20,159,931.12","363,832.00","55.41","United States","NYSE","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","19,967,932.08","0.10","19,967,932.08","86,802.00","230.04","United States","NASDAQ","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","19,887,991.62","0.10","19,887,991.62","228,021.00","87.22","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","19,862,623.05","0.10","19,862,623.05","62,061.00","320.05","United States","NYSE","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","19,789,255.20","0.10","19,789,255.20","124,696.00","158.70","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","19,710,311.13","0.10","19,710,311.13","41,241.00","477.93","United States","NYSE","USD","1.00","USD","-"
